2024-06-11 12:31:41 | Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/a.zip, Compression Level: 2, Size: 9 bytes
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/andra, Total Size: 9 bytes, Timestamp: 2024-06-11 12:49:47
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abc, Total Size: 9 bytes, Timestamp: 2024-06-11 12:51:17
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abgh, Total Size: 9 bytes, Timestamp: 2024-06-11 13:02:49
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abracadabra, Total Size: 9 bytes, Timestamp: 2024-06-11 14:05:08
2024-06-12 12:31:41 | Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/a.zip, Compression Level: 2, Size: 9 bytes
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/bandra, Total Size: 9 bytes, Timestamp: 2024-06-12 12:49:47
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abc, Total Size: 9 bytes, Timestamp: 2024-06-12 12:51:17
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abgh, Total Size: 9 bytes, Timestamp: 2024-06-12 13:02:49
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abracadabra, Total Size: 9 bytes, Timestamp: 2024-06-11 14:05:08


Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abraca, Total Size: 9 bytes, Timestamp: 2024-06-11 15:55:11
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/abrac, Total Size: 9 bytes, Timestamp: 2024-06-11 15:55:57
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing1, Total Size: 7121988 bytes, Timestamp: 2024-06-12 21:05:15
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing2, Total Size: 7121988 bytes, Timestamp: 2024-06-12 21:06:22
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing3, Total Size: 7121988 bytes, Timestamp: 2024-06-12 21:10:25
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing4, Total Size: 7121988 bytes, Timestamp: 2024-06-13 08:09:21
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing5, Total Size: 7121988 bytes, Timestamp: 2024-06-13 08:10:04
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing6, Total Size: 7121988 bytes, Timestamp: 2024-06-13 08:11:47
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing6, Total Size: 7121988 bytes, Timestamp: 2024-06-13 08:14:14
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing7, Total Size: 7121988 bytes, Timestamp: 2024-06-13 08:15:28
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing7, Total Size: 7121988 bytes, Timestamp: 2024-06-13 08:19:25
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testing8, Total Size: 7121988 bytes, Timestamp: 2024-06-13 08:21:00
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testpcd, Total Size: 7121988 bytes, Timestamp: 2024-06-13 12:03:01
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testpcd1, Total Size: 7121988 bytes, Timestamp: 2024-06-13 12:37:01
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/testpcd2, Total Size: 7121988 bytes, Timestamp: 2024-06-13 12:37:13
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/tpcdexamen, Total Size: 7121988 bytes, Timestamp: 2024-06-13 13:29:02
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/tpcdexamen5, Total Size: 7121988 bytes, Timestamp: 2024-06-13 13:31:33
Source: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/input, Destination: /mnt/c/Users/alice/Desktop/pcd-final-final-fi/pcd-final-final/output/tpcdexamen90, Total Size: 7121988 bytes, Timestamp: 2024-06-13 13:34:40
